model_1,model_2,dimension,wasserstein
_hidalgo_disparity_filtration.csv,configuration_model_0,0,795.222438151586
_hidalgo_disparity_filtration.csv,configuration_model_0,1,233.40868245147254
_hidalgo_disparity_filtration.csv,configuration_model_0,2,38.18376618407357
configuration_model_0,configuration_model_1,0,22.0
configuration_model_0,configuration_model_1,1,41.71930009000629
configuration_model_0,configuration_model_1,2,33.405591591021526
configuration_model_0,configuration_model_2,0,107.88225099390857
configuration_model_0,configuration_model_2,1,51.41983416157335
configuration_model_0,configuration_model_2,2,37.0624458405139
configuration_model_0,configuration_model_3,0,34.0
configuration_model_0,configuration_model_3,1,43.4558441227157
configuration_model_0,configuration_model_3,2,29.284271247461895
configuration_model_0,configuration_model_4,0,150.10764773832474
configuration_model_0,configuration_model_4,1,44.31480565029757
configuration_model_0,configuration_model_4,2,25.455844122715696
configuration_model_0,configuration_model_5,0,95.17514421272202
configuration_model_0,configuration_model_5,1,27.506096654409884
configuration_model_0,configuration_model_5,2,28.28427124746188
configuration_model_0,configuration_model_6,0,81.17514421272202
configuration_model_0,configuration_model_6,1,41.677669529663675
configuration_model_0,configuration_model_6,2,27.04163056034262
configuration_model_0,configuration_model_7,0,93.17514421272202
configuration_model_0,configuration_model_7,1,26.96399003885765
configuration_model_0,configuration_model_7,2,16.970562748477143
configuration_model_0,configuration_model_8,0,98.17514421272202
configuration_model_0,configuration_model_8,1,36.03615500203595
configuration_model_0,configuration_model_8,2,35.52691193458116
configuration_model_0,configuration_model_9,0,94.05382386916237
configuration_model_0,configuration_model_9,1,36.69191210021551
configuration_model_0,configuration_model_9,2,27.577164466275338
configuration_model_0,configuration_model_10,0,71.76093065034893
configuration_model_0,configuration_model_10,1,90.97413408594522
configuration_model_0,configuration_model_10,2,77.36753236814708
configuration_model_0,configuration_model_11,0,9.0
configuration_model_0,configuration_model_11,1,86.06806643971412
configuration_model_0,configuration_model_11,2,92.80256121069158
configuration_model_0,configuration_model_12,0,160.10764773832474
configuration_model_0,configuration_model_12,1,65.86143571373724
configuration_model_0,configuration_model_12,2,42.89087296526009
configuration_model_0,configuration_model_13,0,33.0
configuration_model_0,configuration_model_13,1,79.58278506547556
configuration_model_0,configuration_model_13,2,53.79036790187171
configuration_model_0,configuration_model_14,0,19.0
configuration_model_0,configuration_model_14,1,55.06464014313952
configuration_model_0,configuration_model_14,2,74.953318805774
configuration_model_0,configuration_model_15,0,38.0
configuration_model_0,configuration_model_15,1,33.43502884254441
configuration_model_0,configuration_model_15,2,26.4558441227157
configuration_model_0,configuration_model_16,0,146.10764773832474
configuration_model_0,configuration_model_16,1,49.95536806750608
configuration_model_0,configuration_model_16,2,57.27564927611027
configuration_model_0,configuration_model_17,0,33.0
