nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
1,,8101,19112,710.8201967,2,2,,NaN,
2,,8101,19112,1500.166352,1,2,,NaN,
3,,8101,19112,683.9447334,1,2,,NaN,
4,,8600,14110,1720.443238,1,2,,NaN,
5,,8501,12300,1771.348352,1,1,,NaN,
6,,4806,15245,1468.862777,1,2,,NaN,
7,,5601,15131,1048.430691,1,2,,NaN,
8,,8101,19112,1061.484814,1,2,,NaN,
9,,3200,15230,515.5850786,2,2,,NaN,
10,,4808,15223,320.1907257,2,2,,NaN,
11,,5601,15131,390.2069826,2,2,,NaN,
12,,9602,15142,698.548644,2,2,,NaN,
13,,5601,15132,931.5451162,1,2,,NaN,
14,,5601,15131,999.1634278,1,2,,NaN,
16,,4804,15223,491.3638216,2,2,,NaN,
17,,5601,19412,1231.732234,1,2,,NaN,
18,,4808,19334,480.817096,1,2,,NaN,
20,,2701,14311,8319.914012,2,2,,NaN,
21,,8101,15153,5901.252693,1,2,,NaN,
22,,8101,19111,1889.748075,2,2,,NaN,
23,,5601,15120,2134.367159,2,2,,NaN,
24,,7900,18322,391.1615111,1,2,,NaN,
25,,6400,14211,1416.280421,1,2,,NaN,
26,,4903,18322,795.1944111,1,2,,NaN,
27,,8101,19112,2372.645324,2,2,,NaN,
28,,1400,18157,557.8218229,2,2,,NaN,
29,,7301,12431,1340.074369,2,2,,NaN,
30,,8101,15153,739.7634498,1,2,,NaN,
31,,8509,12354,1334.076256,2,2,,NaN,
32,,8401,13343,2501.773438,2,1,,NaN,
33,,4804,15222,6388.480851,1,2,,NaN,
34,,8501,12300,3752.123002,2,2,,NaN,
35,,6900,12411,4286.379906,2,2,,NaN,
36,,8401,12611,7425.603324,1,1,,NaN,
37,,8101,15153,954.5834661,1,2,,NaN,
38,,8700,15321,2270.766325,2,2,,NaN,
39,,6900,14311,4499.708282,2,2,,NaN,
40,,4503,15223,4456.725493,1,2,,NaN,
41,,8600,19111,478.6180547,2,2,,NaN,
42,,1000,14110,1091.434803,2,2,,NaN,
43,,4503,14311,2155.190404,2,2,,NaN,
44,,4804,15223,3378.19112,2,2,,NaN,
45,,6300,12511,3761.250329,1,2,,NaN,
46,,8600,13221,17000.08502,2,2,,NaN,
47,,9700,15311,1283.01395,2,2,,NaN,
48,,4800,15223,1083.208458,2,2,,NaN,
49,,8600,13259,4403.411734,2,2,,NaN,
50,,6900,12611,4124.501194,1,2,,NaN,
51,,4904,15414,1815.151539,1,2,,NaN,
52,,6900,12411,3057.649646,2,2,,NaN,
53,,8101,19112,7870.964705,2,2,,NaN,
54,,4800,15223,3904.334972,1,2,,NaN,
55,,4808,15223,3171.446593,2,2,,NaN,
56,,2400,17212,1929.850292,2,2,,NaN,
57,,8101,15153,2482.28031,2,2,,NaN,
58,,1300,17533,1695.164011,1,2,,NaN,
59,,4000,17112,2601.730606,1,3,,NaN,
60,,6900,14120,5389.923042,2,2,,NaN,
61,,3100,17522,6337.60365,1,2,,NaN,
62,,9700,19111,3723.716949,2,2,,NaN,
63,,2500,11321,15671.43194,2,2,,NaN,
64,,8403,14110,944.5684075,1,1,,NaN,
65,,1300,17533,945.1401127,1,2,,NaN,
66,,2100,15223,864.4923913,2,2,,NaN,
67,,6500,14110,1097.803569,1,2,,NaN,
68,,8600,15321,2032.279663,2,2,,NaN,
69,,5601,15131,2396.300029,1,2,,NaN,
70,,9700,15311,1762.873145,2,2,,NaN,
71,,4807,15244,6422.58904,2,2,,NaN,
72,,5601,15230,9057.050677,1,2,,NaN,
73,,1400,17533,4616.07735,2,2,,NaN,
74,,4804,15221,2749.545514,2,2,,NaN,
76,,4808,15221,2956.894481,2,2,,NaN,
77,,5601,19411,1468.500641,1,2,,NaN,
78,,1000,19321,23802.66394,2,2,,NaN,
79,,5300,18321,31046.82936,1,2,,NaN,
80,,9602,15142,10808.53924,2,2,,NaN,
81,,6500,13321,8242.725517,1,2,,NaN,
82,,1300,14110,27344.47954,2,2,,NaN,
83,,9700,15322,15635.37077,2,2,,NaN,
84,,6900,19312,16462.2429,1,2,,NaN,
85,,4804,15223,7185.083014,2,2,,NaN,
87,,5500,19112,1650.15863,2,2,,NaN,
88,,4807,15221,3506.057419,1,2,,NaN,
89,,5601,14226,1618.760773,2,2,,NaN,
90,,2100,14323,2547.452759,1,2,,NaN,
91,,8401,15414,1882.914503,1,1,,NaN,
92,,4805,15221,3500.551702,1,2,,NaN,
93,,8600,13256,2809.061661,2,2,,NaN,
94,,1003,13122,3546.397202,1,2,,NaN,
95,,9409,13412,2630.378189,1,1,,NaN,
96,,8501,12310,5472.446414,2,1,,NaN,
97,,4801,14311,15367.41479,2,2,,NaN,
98,,4804,15223,6312.041649,1,2,,NaN,
99,,9700,19111,775.03548,2,2,,NaN,
100,,8600,12264,14289.13143,2,1,,NaN,
101,,6900,14311,1168.377185,1,2,,NaN,
102,,5300,18321,1177.922045,1,2,,NaN,
103,,4501,15223,946.6668455,1,2,,NaN,
104,,6900,12411,1777.246819,2,2,,NaN,
105,,7200,12100,1151.299852,2,1,,NaN,
106,,6400,14110,2956.813845,2,2,,NaN,
107,,2100,12113,1603.352085,2,2,,NaN,
108,,8600,13344,1613.187148,2,2,,NaN,
109,,8101,15153,2815.802079,2,2,,NaN,
110,,3100,13122,1647.339998,1,2,,NaN,
111,,8501,12330,799.2792788,2,2,,NaN,
112,,9501,12514,2453.150286,1,2,,NaN,
113,,9409,14110,2792.294541,1,1,,NaN,
114,,4807,15223,1290.765222,1,2,,NaN,
115,,8401,14110,6716.094774,1,1,,NaN,
117,,5900,13521,1268.849935,2,2,,NaN,
118,,8600,14110,14879.33028,1,1,,NaN,
119,,4000,17412,11759.21048,1,2,,NaN,
120,,8401,14120,9700.893575,2,1,,NaN,
121,,8101,15153,9163.961992,1,2,,NaN,
122,,5601,15120,2481.496471,2,2,,NaN,
123,,1400,17533,13436.32798,2,2,,NaN,
124,,8501,12330,2054.907167,2,1,,NaN,
125,,8501,12330,23631.94133,2,1,,NaN,
126,,8101,15153,3349.104006,1,2,,NaN,
128,,5601,15223,1759.292971,2,2,,NaN,
129,,8600,14226,238.6566178,2,2,,NaN,
130,,8501,12423,1665.994638,1,1,,NaN,
131,,1300,18153,2136.484994,2,2,,NaN,
132,,8700,15322,2871.128292,2,1,,NaN,
133,,9700,19111,207.1794549,2,2,,NaN,
134,,6500,14110,2954.568017,1,2,,NaN,
135,,9700,19111,751.504081,2,2,,NaN,
136,,8401,14110,2020.671496,1,1,,NaN,
137,,1400,17531,6374.244586,2,2,,NaN,
138,,8401,13512,5570.182908,1,1,,NaN,
139,,9700,19111,2239.979485,2,2,,NaN,
140,,4803,15221,7057.381916,1,2,,NaN,
141,,8401,12612,22974.98549,1,1,,NaN,
142,,5100,15111,41894.14133,2,2,,NaN,
143,,9700,19111,1237.079376,2,2,,NaN,
144,,4803,15223,1492.687815,2,2,,NaN,
146,,9700,19111,4421.156094,2,2,,NaN,
147,,8501,12341,5416.999687,2,1,,NaN,
148,,9700,19111,1419.383263,2,2,,NaN,
149,,4903,18322,8245.126086,1,2,,NaN,
150,,1001,18322,1122.870708,1,2,,NaN,
151,,9700,17411,1261.814159,1,2,,NaN,
152,,4810,15211,1153.69426,2,2,,NaN,
153,,4903,18322,1744.266021,1,2,,NaN,
154,,9503,17533,1268.699185,2,2,,NaN,
155,,5601,15131,5419.177948,2,2,,NaN,
156,,5601,19621,3017.185952,1,2,,NaN,
157,,4804,15223,3602.868143,2,2,,NaN,
158,,4811,15243,1881.532032,2,2,,NaN,
159,,4804,15222,1011.603315,2,2,,NaN,
160,,4808,15230,1484.291865,2,2,,NaN,
161,,1400,17533,1131.897505,2,2,,NaN,
162,,5601,15223,7844.686149,2,2,,NaN,
163,,9700,15311,2025.202724,2,2,,NaN,
164,,4800,14311,1697.69916,2,2,,NaN,
165,,4807,15223,1327.617218,2,2,,NaN,
166,,4804,15223,2967.610149,2,2,,NaN,
167,,8501,12300,1664.265855,1,2,,NaN,
168,,9700,15322,1727.480864,2,2,,NaN,
170,,8501,15153,8574.581829,2,1,,NaN,
171,,4904,14322,5096.015439,2,2,,NaN,
172,,8800,15322,1365.597638,2,2,,NaN,
173,,8401,15419,5136.567769,1,1,,NaN,
174,,8501,12359,1391.937589,2,1,,NaN,
175,,1009,15221,6311.894101,1,2,,NaN,
176,,2400,14110,1844.324143,1,2,,NaN,
177,,4807,15223,1815.329981,2,2,,NaN,
178,,2500,14110,6295.506033,1,2,,NaN,
179,,4000,17126,2037.490916,1,2,,NaN,
180,,9700,15311,2288.599279,2,2,,NaN,
182,,8509,12330,5656.045715,2,2,,NaN,
183,,4807,15221,8446.914698,1,2,,NaN,
184,,8501,12341,3662.301367,2,1,,NaN,
185,,6900,12611,3559.015595,1,2,,NaN,
186,,4000,17126,3518.360138,1,2,,NaN,
187,,4803,19520,4168.238378,1,2,,NaN,
189,,5601,13434,979.8866406,2,2,,NaN,
190,,5300,19621,1366.624045,1,2,,NaN,
191,,4807,14110,852.6265397,2,2,,NaN,
192,,4804,15221,1063.451399,1,2,,NaN,
193,,5500,14311,2587.719727,2,2,,NaN,
194,,2709,13117,2249.143925,1,2,,NaN,
195,,8501,12341,1410.488092,2,2,,NaN,
196,,4800,15221,1791.772974,1,2,,NaN,
197,,8600,13221,2295.860519,2,1,,NaN,
198,,7900,18322,2091.141808,2,2,,NaN,
199,,5601,15246,2252.397778,1,2,,NaN,
200,,9301,17413,2844.003699,1,2,,NaN,
201,,8501,12342,16186.96026,2,1,,NaN,
202,,8200,13332,13201.89431,2,2,,NaN,
203,,4811,15223,14052.66824,2,2,,NaN,
204,,8501,12341,3046.47412,2,1,,NaN,
205,,5601,15120,2256.794506,1,2,,NaN,
206,,1800,12166,931.8878684,2,2,,NaN,
207,,8501,12341,930.116792,1,1,,NaN,
208,,5601,17131,538.944281,1,2,,NaN,
209,,9700,19111,581.2174312,2,2,,NaN,
210,,8600,13221,850.7337389,2,1,,NaN,
211,,9700,19111,774.1153473,2,2,,NaN,
212,,9700,19111,790.9912959,2,2,,NaN,
213,,8700,15321,736.0572905,2,2,,NaN,
214,,8401,19112,250.6486505,2,1,,NaN,
215,,5800,12642,1455.846339,2,2,,NaN,
216,,8401,12630,11779.25755,2,1,,NaN,
217,,8509,13512,3462.054297,1,2,,NaN,
218,,8600,12265,9616.284998,2,1,,NaN,
219,,4800,15223,3571.091233,2,2,,NaN,
220,,3501,13113,2903.053547,1,2,,NaN,
221,,2800,17223,4609.565859,1,2,,NaN,
222,,4807,15111,9410.574055,1,2,,NaN,
223,,8501,12330,4183.794689,2,1,,NaN,
224,,8501,11345,2957.193358,2,2,,NaN,
225,,9000,12651,1631.06995,2,2,,NaN,
226,,4000,17112,4029.589583,1,2,,NaN,
227,,4000,17112,4029.589583,1,2,,NaN,
228,,3600,17131,6789.508215,1,2,,NaN,
229,,4807,15222,8793.514988,1,2,,NaN,
230,,8600,13312,14102.11381,2,2,,NaN,
231,,8101,15153,2414.495392,1,2,,NaN,
232,,8101,15153,2780.375072,1,2,,NaN,
233,,9401,14110,5364.507895,2,1,,NaN,
234,,7400,12166,1515.458794,2,2,,NaN,
235,,7200,12100,3855.311069,2,1,,NaN,
236,,7400,12353,4242.219961,2,2,,NaN,
237,,9700,14110,2272.305719,1,2,,NaN,
238,,8501,12300,7942.985734,2,1,,NaN,
239,,8501,12341,6767.610398,2,2,,NaN,
240,,8101,15153,20598.93568,1,2,,NaN,
241,,9700,19111,8701.807824,2,2,,NaN,
242,,7100,12149,8059.484819,1,2,,NaN,
243,,7100,11221,43733.41546,1,2,,NaN,
244,,8600,12634,10877.51295,2,2,,NaN,
246,,8501,12310,12766.3942,1,1,,NaN,
247,,8501,15151,1419.566622,2,1,,NaN,
248,,4000,13115,611.4235313,1,2,,NaN,
249,,4801,19334,1785.071895,1,2,,NaN,
250,,8401,14416,1820.542152,1,1,,NaN,
251,,9000,12651,2509.177825,2,2,,NaN,
252,,6200,12511,945.322896,2,2,,NaN,
253,,9700,15322,1521.163249,2,2,,NaN,
254,,6900,12411,1966.714648,2,2,,NaN,
255,,8600,12211,847.9465898,1,1,,NaN,
256,,8501,12330,3682.200042,2,1,,NaN,
258,,9503,17533,310.7526821,2,2,,NaN,
259,,8800,15120,640.136408,2,1,,NaN,
260,,5300,19621,1028.395545,1,2,,NaN,
261,,8101,17544,5614.166086,1,2,,NaN,
262,,4000,17400,11129.39533,1,2,,NaN,
263,,8501,12310,4886.825729,2,1,,NaN,
264,,8600,12212,2617.799636,2,1,,NaN,
265,,4808,19334,3970.092052,1,2,,NaN,
266,,8600,13221,2520.595068,2,4,,NaN,
267,,9409,13253,1352.146109,1,4,,NaN,
269,,8509,12359,1256.272623,1,2,,NaN,
270,,8800,19412,3503.597325,2,4,,NaN,
271,,4800,15223,1443.991351,1,2,,NaN,
272,,4000,19313,1279.185992,1,2,,NaN,
274,,9409,19411,1687.193286,2,4,,NaN,
275,,8800,19412,1948.540243,2,4,,NaN,
276,,5601,19412,3762.848575,2,2,,NaN,
277,,4803,15223,1268.885038,1,2,,NaN,
