nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
1.0,1.0,8401,13120,778.0,1,1,8.412054873292933,56.0,8.0
1.0,1.0,8501,12330,778.0,2,1,8.294299608857235,51.0,7.0
1.0,1.0,4804,15223,778.0,2,2,,31.0,8.0
1.0,1.0,800,18111,778.0,1,2,,31.0,5.0
2.0,1.0,4803,15223,485.0,2,2,8.699681400989514,21.0,5.0
2.0,1.0,8501,19112,485.0,2,1,8.006700845440367,53.0,5.0
2.0,1.0,9200,14212,485.0,2,2,8.006700845440367,21.0,5.0
3.0,1.0,9700,15311,834.0,2,2,7.601402334583733,24.0,5.0
3.0,1.0,101,16113,834.0,1,2,7.378383712996714,70.0,3.0
3.0,1.0,1300,17318,834.0,2,2,7.378383712996714,62.0,3.0
4.0,1.0,4502,17213,1032.0,1,2,7.378383712996714,32.0,3.0
5.0,1.0,2000,13133,603.0,1,2,8.853808274977197,57.0,3.0
5.0,1.0,101,16112,603.0,2,2,8.03947991910045,75.0,2.0
5.0,1.0,1100,18332,603.0,1,2,8.412054873292933,26.0,5.0
6.0,1.0,9700,15322,904.0,2,2,8.071218539969863,38.0,3.0
6.0,1.0,8501,19112,904.0,2,1,7.601402334583733,53.0,2.0
6.0,1.0,4000,19313,904.0,1,2,6.803505257608338,18.0,4.0
7.0,1.0,9700,15311,483.0,2,2,7.313886831633462,59.0,2.0
7.0,1.0,4000,19313,483.0,1,2,6.68586094706836,61.0,2.0
7.0,1.0,4000,17112,483.0,1,2,,24.0,4.0
7.0,1.0,5601,15223,483.0,2,2,,21.0,5.0
7.0,1.0,9700,15311,483.0,2,2,,19.0,2.0
8.0,1.0,9000,11431,1638.0,1,2,9.105090961257083,40.0,8.0
8.0,1.0,4804,15223,1638.0,2,2,8.343077871169383,36.0,9.0
9.0,1.0,8401,14223,546.0,2,1,7.601402334583733,64.0,5.0
9.0,1.0,8401,14110,546.0,2,1,7.719129840906732,36.0,8.0
10.0,1.0,8600,12212,1540.0,1,1,8.987321812850125,47.0,9.0
10.0,1.0,8501,12341,1540.0,2,1,8.517393171418904,47.0,7.0
11.0,1.0,8401,13000,813.0,1,1,,29.0,8.0
11.0,1.0,8501,19112,813.0,2,1,,25.0,8.0
12.0,1.0,5900,12642,1350.0,1,2,8.699681400989514,36.0,9.0
12.0,1.0,6500,14226,1350.0,2,2,8.517393171418904,36.0,9.0
13.0,1.0,4903,18322,776.0,1,2,8.517393171418904,37.0,8.0
13.0,1.0,8501,12330,776.0,2,1,7.601402334583733,32.0,9.0
14.0,1.0,1100,11321,585.0,1,2,8.188966863648876,70.0,7.0
15.0,1.0,1100,19129,764.0,1,2,8.294299608857235,42.0,5.0
15.0,1.0,1100,16110,764.0,1,2,,74.0,3.0
16.0,1.0,5800,13431,615.0,1,1,8.699681400989514,44.0,8.0
16.0,1.0,1100,18183,615.0,2,2,7.783640596221253,72.0,4.0
16.0,1.0,8501,19112,615.0,2,2,7.783640596221253,88.0,3.0
17.0,1.0,4809,14311,674.0,1,2,,58.0,5.0
18.0,1.0,8401,12641,756.0,1,1,9.210440366976515,53.0,8.0
18.0,1.0,8501,12310,756.0,2,1,9.15915233520675,41.0,9.0
19.0,1.0,4000,17112,1505.0,1,2,,44.0,3.0
19.0,1.0,9700,19111,1505.0,2,2,8.987321812850125,25.0,4.0
20.0,1.0,4904,18332,1915.0,1,2,8.987321812850125,44.0,3.0
21.0,1.0,102,19212,1841.0,2,2,7.496097345175956,66.0,2.0
22.0,1.0,8402,15412,158.0,1,1,9.105090961257083,45.0,5.0
22.0,1.0,1400,17112,158.0,2,2,,42.0,5.0
23.0,1.0,8501,15153,93.0,1,1,,73.0,1.0
23.0,1.0,9700,19111,93.0,2,2,,27.0,4.0
24.0,1.0,9603,14225,27.0,1,1,8.517393171418904,62.0,3.0
24.0,1.0,8101,19613,27.0,1,1,6.903747257584598,24.0,3.0
24.0,1.0,8401,19112,27.0,2,1,6.523562306149512,25.0,3.0
25.0,1.0,8401,14226,211.0,1,1,8.748463629942055,37.0,5.0
25.0,1.0,8401,14225,211.0,1,1,,18.0,5.0
26.0,1.0,4503,15221,1835.0,1,2,,46.0,4.0
26.0,1.0,4807,15223,1835.0,2,2,8.987321812850125,44.0,5.0
28.0,1.0,8600,12264,1667.0,2,2,8.517393171418904,38.0,9.0
29.0,1.0,8501,11321,1776.0,2,1,8.160803920954665,81.0,5.0
