algorithm,resolution,num_communities,seed,modularity
infomap,0.1,4,43667,0.0
infomap,0.1,3,55824,0.0
infomap,0.1,1,14480,0.0
infomap,0.1,4,57991,0.0
infomap,0.1,4,54596,0.0
infomap,0.1,1,50180,0.0
infomap,0.1,1,50469,0.0
infomap,0.1,1,2110,0.0
infomap,0.1,1,9373,0.0
infomap,0.1,1,3289,0.0
infomap,0.1,1,54621,-1.1102230246251565e-16
infomap,0.1,1,21588,0.0
infomap,0.1,3,23019,1.1102230246251565e-16
infomap,0.1,1,57408,0.0
infomap,0.1,3,18144,0.0
infomap,0.11574864870826927,4,43667,0.0
infomap,0.11574864870826927,3,55824,0.0
infomap,0.11574864870826927,3,14480,0.0
infomap,0.11574864870826927,1,57991,0.0
infomap,0.11574864870826927,4,54596,0.0
infomap,0.11574864870826927,1,50180,0.0
infomap,0.11574864870826927,3,50469,0.0
infomap,0.11574864870826927,3,2110,0.0
infomap,0.11574864870826927,4,9373,0.0
infomap,0.11574864870826927,3,3289,0.0
infomap,0.11574864870826927,1,54621,-1.1102230246251565e-16
infomap,0.11574864870826927,4,21588,0.0
infomap,0.11574864870826927,1,23019,1.1102230246251565e-16
infomap,0.11574864870826927,1,57408,0.0
infomap,0.11574864870826927,3,18144,0.0
infomap,0.13397749677790324,4,43667,0.0
infomap,0.13397749677790324,3,55824,0.0
infomap,0.13397749677790324,1,14480,0.0
infomap,0.13397749677790324,4,57991,0.0
infomap,0.13397749677790324,4,54596,0.0
infomap,0.13397749677790324,1,50180,0.0
infomap,0.13397749677790324,3,50469,0.0
infomap,0.13397749677790324,3,2110,0.0
infomap,0.13397749677790324,4,9373,0.0
infomap,0.13397749677790324,1,3289,0.0
infomap,0.13397749677790324,1,54621,-1.1102230246251565e-16
infomap,0.13397749677790324,1,21588,0.0
infomap,0.13397749677790324,1,23019,1.1102230246251565e-16
infomap,0.13397749677790324,3,57408,0.0
infomap,0.13397749677790324,1,18144,0.0
infomap,0.155077142093588,4,43667,0.0
infomap,0.155077142093588,3,55824,0.0
infomap,0.155077142093588,3,14480,0.0
infomap,0.155077142093588,1,57991,0.0
infomap,0.155077142093588,1,54596,0.0
infomap,0.155077142093588,3,50180,0.0
infomap,0.155077142093588,3,50469,0.0
infomap,0.155077142093588,1,2110,0.0
infomap,0.155077142093588,1,9373,0.0
infomap,0.155077142093588,3,3289,0.0
infomap,0.155077142093588,1,54621,-1.1102230246251565e-16
infomap,0.155077142093588,4,21588,0.0
infomap,0.155077142093588,1,23019,1.1102230246251565e-16
infomap,0.155077142093588,3,57408,0.0
infomap,0.155077142093588,3,18144,0.0
infomap,0.1794996964287307,4,43667,0.0
infomap,0.1794996964287307,3,55824,0.0
infomap,0.1794996964287307,3,14480,0.0
infomap,0.1794996964287307,4,57991,0.0
infomap,0.1794996964287307,4,54596,0.0
infomap,0.1794996964287307,1,50180,0.0
infomap,0.1794996964287307,1,50469,0.0
infomap,0.1794996964287307,3,2110,0.0
infomap,0.1794996964287307,1,9373,0.0
infomap,0.1794996964287307,3,3289,0.0
infomap,0.1794996964287307,1,54621,-1.1102230246251565e-16
infomap,0.1794996964287307,1,21588,0.0
infomap,0.1794996964287307,1,23019,1.1102230246251565e-16
infomap,0.1794996964287307,3,57408,0.0
infomap,0.1794996964287307,1,18144,0.0
infomap,0.2077684730517013,4,43667,0.0
infomap,0.2077684730517013,3,55824,0.0
infomap,0.2077684730517013,3,14480,0.0
infomap,0.2077684730517013,1,57991,0.0
infomap,0.2077684730517013,4,54596,0.0
infomap,0.2077684730517013,1,50180,0.0
infomap,0.2077684730517013,1,50469,0.0
infomap,0.2077684730517013,1,2110,0.0
infomap,0.2077684730517013,1,9373,0.0
infomap,0.2077684730517013,1,3289,0.0
infomap,0.2077684730517013,1,54621,-1.1102230246251565e-16
infomap,0.2077684730517013,4,21588,0.0
infomap,0.2077684730517013,3,23019,1.1102230246251565e-16
infomap,0.2077684730517013,1,57408,0.0
infomap,0.2077684730517013,3,18144,0.0
infomap,0.24048919999914883,4,43667,0.0
infomap,0.24048919999914883,3,55824,0.0
infomap,0.24048919999914883,1,14480,0.0
infomap,0.24048919999914883,1,57991,0.0
infomap,0.24048919999914883,1,54596,0.0
infomap,0.24048919999914883,1,50180,0.0
