algorithm,resolution,score,score_type
infomap,0.1,0.5674056876109398,AMI
infomap,0.1,0.5847713564683348,NMI
infomap,0.1,0.6789806281618443,AMI
infomap,0.1,0.6926210037013685,NMI
infomap,0.1,0.5506732184504041,AMI
infomap,0.1,0.570313635321223,NMI
infomap,0.1,0.5506732184504041,AMI
infomap,0.1,0.570313635321223,NMI
infomap,0.1,0.5893636510055472,AMI
infomap,0.1,0.6097368162483003,NMI
infomap,0.1,0.888237467871999,AMI
infomap,0.1,0.8953305113541424,NMI
infomap,0.1,0.576231286278427,AMI
infomap,0.1,0.5924341673694686,NMI
infomap,0.1,0.6345505122826854,AMI
infomap,0.1,0.6489393451079707,NMI
infomap,0.1,0.5272835305720245,AMI
infomap,0.1,0.5505503329776631,NMI
infomap,0.1,0.5269865272651418,AMI
infomap,0.1,0.5501428416404334,NMI
infomap,0.1,0.546778459886183,AMI
infomap,0.1,0.5671471465722635,NMI
infomap,0.1,0.5850583519145106,AMI
infomap,0.1,0.6004066691060358,NMI
infomap,0.1,0.5674056876109398,AMI
infomap,0.1,0.5847713564683348,NMI
infomap,0.1,0.5907617617109633,AMI
infomap,0.1,0.6058202969760934,NMI
infomap,0.1,0.623552388881538,AMI
infomap,0.1,0.6449703293870621,NMI
infomap,0.1,0.9737791902528624,AMI
infomap,0.1,0.9750703223169829,NMI
infomap,0.1,0.9213540860320348,AMI
infomap,0.1,0.9245894912585259,NMI
infomap,0.1,0.8976092969371701,AMI
infomap,0.1,0.9026568262268359,NMI
infomap,0.1,0.6168924776955527,AMI
infomap,0.1,0.6376501831129597,NMI
infomap,0.1,0.9321472667967834,AMI
infomap,0.1,0.9345991377722483,NMI
infomap,0.1,0.9051339484744331,AMI
infomap,0.1,0.9086252900528862,NMI
infomap,0.1,0.8610266931305766,AMI
infomap,0.1,0.8680198449916007,NMI
infomap,0.1,0.8854661402090265,AMI
infomap,0.1,0.8915416566583803,NMI
infomap,0.1,0.8637663366742162,AMI
infomap,0.1,0.8694232367735333,NMI
infomap,0.1,0.972451259413755,AMI
infomap,0.1,0.9737535316373704,NMI
infomap,0.1,0.9462717009635213,AMI
infomap,0.1,0.9482122133353141,NMI
