v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
100,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",6064.0,6064.0,7809.85,4617.25,8234.5,10450.0,25.03,74.97,0.0,6.17,51.49,56.0,0.2524337506540822,0.4534171848965724,C5
101,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",469983.56,469983.56,4363.84,2000.0,3000.0,5000.0,25.7,74.3,5.82,3.52,46.75,45.0,-0.278302366139626,0.1372135520049987,C5
102,Cría de animales,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",164595.99,164595.99,5937.23,3000.0,4450.0,6800.0,23.19,76.81,0.31,3.48,52.78,51.0,-0.1327277009915171,0.2165306522608294,C5
103,Cultivo de productos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",73432.43,73432.43,7545.83,3286.5,6000.0,7835.0,22.53,77.47,2.0,4.35,56.88,51.0,-0.0254258854487851,0.1487501336202114,C5
104,Servicios agrícolas y pecuarios,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",24208.24,24208.24,12912.19,4082.5,6331.0,7750.0,15.23,84.77,13.53,5.33,36.61,37.0,0.1641253601386392,0.2990632312602511,C5
105,Caza y servicios de apoyo,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",0.0,,,,,,,,,,,,,,
200,"Silvicultura, extracción de madera y actividades conexas","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",14001.88,14001.88,5734.54,2625.0,4110.0,5231.25,16.8,83.2,9.68,4.52,42.63,42.5,0.2819931952996993,0.2849833073872282,C7
300,Pesca y acuicultura,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",15814.37,15814.37,5400.26,2210.0,4059.5,7012.75,27.38,72.62,0.0,4.7,49.94,42.0,0.2739408116039825,-0.031538680479821,C8
500,Extracción de carbón y lignito,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",1093.8,1093.8,6331.0,6331.0,6331.0,6331.0,0.0,100.0,0.0,4.0,27.0,27.0,0.9515252982086052,0.4680213051712267,C8
600,Extracción de petróleo crudo y gas natural,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",75630.0,75630.0,22867.14,8975.0,18500.0,35378.25,7.59,92.41,12.83,5.27,43.34,44.0,0.1324745997544299,0.1287397264414916,C7
