v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
100,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",7,9844.83,4617.25,8234.5,10450.0,14.29,85.71,0.0,5.14,52.29,56.0,-0.0754480889999352,0.4522656737846883,C0
101,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",394,4136.42,2000.0,3000.0,5000.0,27.41,72.59,3.55,3.49,48.19,45.0,-0.363742850028081,0.0864908187790797,C0
102,Cría de animales,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",99,6119.51,3000.0,4450.0,6800.0,19.19,80.81,1.01,3.52,51.5,51.0,-0.3170670380500592,0.2317968198139,C0
103,Cultivo de productos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",46,9407.0,3286.5,6000.0,7835.0,13.04,86.96,2.17,4.47,50.34,51.0,-0.3048240565330342,0.267343564369767,C0
104,Servicios agrícolas y pecuarios,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",20,8946.55,4082.5,6331.0,7750.0,25.0,75.0,20.0,4.67,39.53,37.0,-0.072487939749993,0.2812487896258077,C0
200,"Silvicultura, extracción de madera y actividades conexas","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",15,5612.8,2625.0,4110.0,5231.25,13.33,86.67,13.33,4.17,42.42,42.5,-0.0222283074239728,0.3918562943075976,C0
300,Pesca y acuicultura,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))",11,5659.5,2210.0,4059.5,7012.75,9.09,90.91,0.0,4.2,47.1,42.0,0.2662528069620976,0.3112985346704264,C2
500,Extracción de carbón y lignito,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",2,6331.0,6331.0,6331.0,6331.0,0.0,100.0,0.0,4.0,27.0,27.0,1.0,0.3588788261150978,C1
600,Extracción de petróleo crudo y gas natural,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",73,23589.98,8975.0,18500.0,35378.25,4.11,95.89,12.33,4.85,48.17,44.0,-0.1945160955232903,0.0797227970776648,C0
700,Extracción de minerales metalíferos,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(np.float64(0.4980392156862745), np.float64(0.788235294117647), np.float64(0.4980392156862745), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",6,3000.0,3000.0,3000.0,3000.0,16.67,83.33,16.67,9.0,39.0,39.0,0.6523984978534917,0.0251814219425511,C1
