v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
100,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",6064.0,6064.0,8.76,0.64,8.99,25.03,74.97,0.0,6.17,2.06,51.49,14.38,56.0,529.426513671875,248.72537231445312,C05
101,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",469983.56,469983.56,8.08,0.8,8.01,25.7,74.3,5.82,3.52,1.82,46.75,20.39,45.0,249.23655700683597,-262.6897888183594,C05
102,Cría de animales,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",164595.99,164595.99,8.41,0.79,8.4,23.19,76.81,0.31,3.48,1.71,52.78,19.96,51.0,288.2614440917969,-138.36199951171875,C05
103,Cultivo de productos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",73432.43,73432.43,8.55,0.85,8.7,22.53,77.47,2.0,4.35,2.28,56.88,22.2,51.0,264.4252624511719,-53.23820495605469,C05
104,Servicios agrícolas y pecuarios,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",24208.24,24208.24,8.95,1.05,8.75,15.23,84.77,13.53,5.33,2.37,36.61,11.03,37.0,439.4749145507813,222.4110565185547,C05
105,Caza y servicios de apoyo,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",0.0,,,,,,,,,,,,,,,
200,"Silvicultura, extracción de madera y actividades conexas","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",14001.88,14001.88,8.38,0.72,8.32,16.8,83.2,9.68,4.52,2.46,42.63,17.76,42.5,447.3786315917969,423.6995849609375,C10
300,Pesca y acuicultura,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",15814.37,15814.37,8.3,0.8,8.28,27.38,72.62,0.0,4.7,1.75,49.94,19.72,42.0,182.6657257080078,365.1724853515625,C07
500,Extracción de carbón y lignito,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1093.8,1093.8,8.75,0.0,8.75,0.0,100.0,0.0,4.0,0.0,27.0,0.0,27.0,539.0905151367188,658.1740112304688,C07
600,Extracción de petróleo crudo y gas natural,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",75630.0,75630.0,9.73,0.82,9.82,7.59,92.41,12.83,5.27,2.25,43.34,15.59,44.0,336.7467346191406,200.98745727539065,C09
700,Extracción de minerales metalíferos,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",5549.71,5549.71,8.01,0.0,8.01,37.87,62.13,9.02,9.0,0.0,39.0,0.0,39.0,591.1109008789062,444.0772399902344,C09
800,Explotación de otras minas y canteras,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",26734.32,26734.32,8.68,0.67,8.64,9.51,90.49,0.0,3.58,1.34,45.27,16.76,51.0,332.10308837890625,304.5097045898437,C09
900,Actividades de Apoyo a la Explotación de Minas y Canteras,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12379.0,12379.0,9.64,1.03,10.05,4.21,95.79,8.26,4.79,1.62,35.97,6.04,36.0,384.3194885253906,415.78662109375,C10
1000,Industria manufacturera (general),C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",120747.06,120747.06,8.97,0.72,8.89,43.89,56.11,0.0,4.24,1.65,52.42,16.91,47.0,193.1658172607422,27.679414749145508,C03
1001,Producción y procesamiento de carne,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",189635.13,189635.13,8.5,0.75,8.57,20.54,79.46,0.09,3.59,1.5,42.88,19.59,40.5,-192.35296630859372,146.13827514648438,C03
1002,"Preparación de frutas, hortalizas y legumbres",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",62535.13,62535.13,8.8,0.86,8.46,39.43,60.57,0.0,4.2,1.59,54.35,20.91,54.0,184.1807098388672,123.23455047607422,C03
1003,Elaboración de productos lácteos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",18238.23,18238.23,9.45,0.61,9.35,0.4,99.6,0.0,4.37,1.39,41.08,17.71,37.0,392.35107421875,332.0983581542969,C09
1009,Elaboración de productos alimenticios,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",492768.36,492768.36,8.34,0.93,8.41,48.56,51.44,0.58,4.29,1.78,41.78,17.15,39.0,-531.5652465820312,56.05598068237305,C01
