v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
10110,Of. FF.AA.,0. Oc. militares,1. Trabajadores  no manuales,"(0.003299, 0.002249, 0.024239, 1.0)","(np.float64(0.0035204), np.float64(0.0022872000000000005), np.float64(0.0239999), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",6,9958.0,9350.0,10000.0,11220.0,16.67,83.33,100.0,8.0,41.6,27.0,0.3404579141398386,0.1014390859692161,C18
10210,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.007676, 0.006136, 0.046836, 1.0)","(np.float64(0.0035204), np.float64(0.0022872000000000005), np.float64(0.0239999), np.float64(1.0))","(np.float64(0.9335873580357176), np.float64(0.6595281678571433), np.float64(0.1864845276785718), np.float64(1.0))",10,9354.89,6500.0,9000.0,11606.0,10.0,90.0,100.0,5.4,52.2,51.5,0.3347610613020716,0.0832049324554814,C18
10310,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.013995, 0.011225, 0.071862, 1.0)","(np.float64(0.0035204), np.float64(0.0022872000000000005), np.float64(0.0239999), np.float64(1.0))","(np.float64(0.9335873580357176), np.float64(0.6595281678571433), np.float64(0.1864845276785718), np.float64(1.0))",45,8109.81,6000.0,8000.0,9748.0,8.89,91.11,97.78,5.3,39.55,35.0,0.3669914919438681,0.0904302354041726,C18
11111,Miemb. Poder legislativo,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",4,23000.0,23000.0,23000.0,23000.0,25.0,75.0,100.0,8.0,48.0,48.0,-0.0951199053184262,-0.2802798103342647,C13
11112,Direct. Adm. Pública,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",13,13341.7,7950.0,10775.5,14396.5,38.46,61.54,100.0,5.46,58.15,59.0,0.1771554375806391,0.0065645841084745,C01
11114,Dir. Org. Interés especial,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,,,,,100.0,0.0,100.0,,,,-0.2396473726782715,-0.3699901258654313,C00
11120,Ger. Generales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",5,17670.0,15883.0,18013.5,19800.5,60.0,40.0,0.0,8.5,45.75,51.5,-0.238950789152752,-0.2308272014326809,C00
11210,Dir. adm. y serv.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,2700.0,2700.0,2700.0,2700.0,0.0,100.0,0.0,4.0,79.0,79.0,-0.2168053686831473,-0.2173039490531049,C00
11211,Dir. Financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",3,6029.67,3500.0,4000.0,7544.5,0.0,100.0,0.0,8.33,67.33,72.0,-0.1597514404772615,-0.4380838245742485,C09
11212,Dir. RR.HH.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",4,20854.0,9500.0,16606.0,27960.0,25.0,75.0,75.0,7.25,46.5,50.5,-0.1947046632681463,-0.3746930871454402,C00
11213,Dir. Pol. y planificación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,38000.0,38000.0,38000.0,38000.0,0.0,100.0,100.0,5.0,70.0,70.0,-0.4256036841950815,-0.1732107185741465,C17
11219,Dir. Servicios n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",2,4400.0,3700.0,4400.0,5100.0,0.0,100.0,0.0,8.0,55.5,55.5,0.1803119331903357,-0.7868352655483217,C12
11221,Dir. Ventas y com,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",15,8715.18,3600.0,5000.0,9500.0,33.33,66.67,0.0,7.38,50.08,53.0,0.1385181794765236,-0.2186807583759787,C09
11222,Dir. Publicidad y rel públicas,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,10300.0,10300.0,10300.0,10300.0,0.0,100.0,0.0,5.0,72.0,72.0,-0.6955314249969246,0.7950509237210014,C07
11223,Dir R&D,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,,,,,0.0,100.0,0.0,,,,-0.3351152969944052,0.718865205410313,C05
11311,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",14,8071.91,4610.0,8800.0,10575.5,28.57,71.43,7.14,5.85,63.08,66.0,0.1028745817725301,-0.4786626782900071,C12
11320,"Dir. Ind manufacturera, minería",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,,,,,0.0,100.0,0.0,7.0,67.0,67.0,-0.3453228550350997,-0.5243190765881143,C16
11321,Dir. Ind manufacturera,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",32,12319.65,4715.5,7000.0,11698.0,18.75,81.25,6.25,5.82,58.64,56.5,-0.0172611778464032,0.1925153781761419,C05
11322,Dir. minería,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",4,22866.67,16800.0,21600.0,28300.0,0.0,100.0,25.0,7.0,51.33,45.0,-0.4678038192618436,0.7682411172308765,C07
