v183ciuo,original_v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
10000,0,Oc. Militares,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,
10001,1,Of. FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,
10002,2,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,
10003,3,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,
10011,11,Of. FF.AA.,0. Oc. militares,1. Trabajadores  no manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#cccccc,0.0,,,,,,,,,,,,
10021,21,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,
10031,31,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,
10110,110,Of. FF.AA.,0. Oc. militares,1. Trabajadores  no manuales,"(0.003299, 0.002249, 0.024239, 1.0)",#333333,#cccccc,1.0,1.0,9.33,0.0,9.33,100.0,0.0,100.0,9.0,0.0,24.0,0.0,24.0
10210,210,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.007676, 0.006136, 0.046836, 1.0)",#333333,#17becf,1.0,1.0,9.43,0.0,9.43,100.0,0.0,100.0,9.0,0.0,51.0,0.0,51.0
10310,310,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.013995, 0.011225, 0.071862, 1.0)",#333333,#17becf,4.0,4.0,9.14,0.03,9.16,100.0,0.0,100.0,5.75,0.83,26.75,2.28,27.0
11000,1000,Dir. Y Ger.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.09299, 0.045583, 0.234358, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11100,1100,Dir. Admin. Pública,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11110,1110,Miemb. Poder judicial,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11111,1111,Miemb. Poder legislativo,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,1.0,1.0,,,,100.0,0.0,100.0,,,,,
11112,1112,Direct. Adm. Pública,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,5.0,5.0,9.36,0.21,9.35,100.0,0.0,100.0,5.4,1.36,59.8,10.81,59.0
11113,1113,Jefes de pequeñas poblaciones,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11114,1114,Dir. Org. Interés especial,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,1.0,1.0,,,,100.0,0.0,100.0,,,,,
11120,1120,Ger. Generales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,3.0,3.0,9.75,0.29,9.84,100.0,0.0,0.0,8.67,0.47,43.0,12.19,49.0
11200,1200,Dir. adm. y com.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.122908, 0.047536, 0.281624, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11210,1210,Dir. adm. y serv.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
