v182caes,original_v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
100,100,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",4546.0,4546.0,8.76,0.64,8.99,0.0,100.0,0.0,5.23,1.45,54.66,15.35,57.0
101,101,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",349178.17,349178.17,8.1,0.83,8.01,0.0,100.0,5.76,3.6,1.83,44.85,19.24,43.0
102,102,Cría de animales,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",126433.99,126433.99,8.5,0.79,8.48,0.0,100.0,0.0,3.71,1.82,48.58,17.48,48.0
103,103,Cultivo de productos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",56891.23,56891.23,8.59,0.94,8.7,0.0,100.0,2.58,4.54,2.29,51.15,22.06,49.5
104,104,Servicios agrícolas y pecuarios,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",20520.85,20520.85,8.91,1.08,8.73,0.0,100.0,10.24,5.15,2.28,36.58,11.54,37.0
105,105,Caza y servicios de apoyo,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",0.0,,,,,,,,,,,,
200,200,"Silvicultura, extracción de madera y actividades conexas","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",11648.88,11648.88,8.43,0.8,8.42,0.0,100.0,11.63,3.72,1.7,38.63,17.44,37.5
300,300,Pesca y acuicultura,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",11484.37,11484.37,8.19,0.96,8.05,0.0,100.0,0.0,3.79,1.17,51.89,23.01,39.0
500,500,Extracción de carbón y lignito,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1093.8,1093.8,8.75,0.0,8.75,0.0,100.0,0.0,4.0,0.0,27.0,0.0,27.0
600,600,Extracción de petróleo crudo y gas natural,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",69893.37,69893.37,9.74,0.82,9.9,0.0,100.0,13.88,5.01,2.2,45.02,15.58,45.0
