v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
100,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",6.0,6.0,8.95,0.7,8.99,0.0,100.0,0.0,4.5,1.38,54.0,11.37,57.0
101,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",286.0,286.0,8.06,0.77,8.01,0.0,100.0,3.15,3.55,1.7,46.74,20.76,43.0
102,Cría de animales,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",80.0,80.0,8.48,0.78,8.48,0.0,100.0,0.0,3.62,1.91,49.55,21.55,48.0
103,Cultivo de productos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",40.0,40.0,8.54,1.03,8.7,0.0,100.0,2.5,4.38,2.17,48.79,22.6,49.5
104,Servicios agrícolas y pecuarios,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",15.0,15.0,8.4,1.25,8.73,0.0,100.0,13.33,4.38,2.4,40.0,12.42,37.0
105,Caza y servicios de apoyo,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",0.0,,,,,,,,,,,,
200,"Silvicultura, extracción de madera y actividades conexas","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",13.0,13.0,8.43,0.8,8.42,0.0,100.0,15.38,3.8,1.94,39.5,18.24,37.5
300,Pesca y acuicultura,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",10.0,10.0,8.26,0.91,8.05,0.0,100.0,0.0,3.89,1.37,47.33,21.83,39.0
500,Extracción de carbón y lignito,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2.0,2.0,8.75,0.0,8.75,0.0,100.0,0.0,4.0,0.0,27.0,0.0,27.0
600,Extracción de petróleo crudo y gas natural,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",70.0,70.0,9.72,0.9,9.9,0.0,100.0,12.86,4.78,2.13,49.0,17.24,45.0
