v183cno,cnolabel,v183ciuo_2digits
49.3.1.1,"Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura con calificación profesional",01
49.3.3.1,"Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura con calificación profesional",01
49.3.1.2,"Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura con calificación técnica",02
49.3.2.2,"Operadores de maquinaria y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura con calificación operativa",02
49.3.3.2,"Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura con calificación técnica",02
49.3.1.3,"Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura con calificación operativa",03
49.3.1.4,"Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura no calificados",03
49.3.2.3,"Operadores de maquinaria y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura con calificación técnica",03
49.3.3.3,"Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura con calificación operativa",03
00.0.0.1,"Funcionarios del poder ejecutivo nacional, provincial, municipal y/o departamental con calificación profesional",11
01.0.0.1,"Funcionarios del poder legislativo nacional, provincial, municipal y/o departamental con calificación profesional",11
04.0.0.1,Directivos de instituciones sociales con calificación profesional,11
56.1.1.1,Cuenta propia sin operación de maquinarias de los servicios de limpieza doméstica con calificación profesional,12
03.0.0.1,"Directivos de organismos, empresas e instituciones estatales con calificación profesional",13
05.0.0.1,Directivos de pequeñas y microempresas (patrones de 1 a 5 personas) con calificación profesional,13
06.0.0.1,Directivos de medianas empresas privadas productoras de bienes y/o servicios (6 a 40 personas) con calificación profesional,13
07.0.0.1,Directivos de grandes empresas privadas productoras de bienes y/o servicios (41 personas y más) con calificación profesional,13
57.1.1.1,Cuenta propia sin operación de maquinarias del cuidado y la atención de las personas con calificación profesional,13
65.1.1.1,Cuenta propia sin operación de maquinarias de la caza con calificación profesional,13
05.0.0.2,Directivos de pequeñas y microempresas (patrones de 1 a 5 personas) con calificación técnica,14
51.1.1.1,Cuenta propia sin operación de maquinarias del deporte con calificación profesional,14
51.2.0.1,Jefes del deporte con calificación profesional,14
52.1.1.1,Cuenta propia sin operación de maquinarias de la recreación con calificación profesional,14
53.1.1.1,Cuenta propia sin operación de maquinarias de servicios gastronómicos con calificación profesional,14
58.1.1.1,Cuenta propia sin operación de maquinarias de otras ocupaciones de los servicios sociales varios con calificación profesional,14
42.1.1.1,Cuenta propia sin operación de maquinarias de la investigación científica y tecnológica con calificación profesional,2(2)
42.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica con calificación profesional,2(2)
42.2.0.1,Jefes de la investigación científica y tecnológica con calificación profesional,2(2)
42.3.1.1,Trabajadores sin operación de maquinarias de la investigación científica y tecnológica con calificación profesional,2(2)
43.1.1.1,Cuenta propia sin operación de maquinarias de la asesoría y consultoría con calificación profesional,2(2)
43.2.0.1,Jefes de la asesoría y consultoría con calificación profesional,2(2)
43.3.1.1,Trabajadores de la asesoría y consultoría con calificación profesional,2(2)
34.1.1.1,Cuenta propia sin operación de maquinarias del transporte con calificación profesional,21
34.1.2.1,Cuenta propia con operación de maquinarias y/o equipos electromecánicos del transporte con profesional,21
34.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados del transporte con calificación profesional,21
34.2.0.1,Jefes de servicios de transporte con calificación profesional,21
34.3.1.1,Trabajadores sin operación de maquinarias del transporte con calificación profesional,21
34.3.2.1,Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte con calificación profesional,21
34.3.3.1,Operadores de sistemas y/o equipos informatizados o paneles de control del transporte con calificación profesional,21
35.1.1.1,Cuenta propia sin operación de maquinarias de las telecomunicaciones con calificación profesional,21
35.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones con calificación profesional,21
35.2.0.1,Jefes de las telecomunicaciones con calificación profesional,21
35.3.1.1,Trabajadores sin operación de maquinarias de las telecomunicaciones con calificación profesional,21
36.1.1.1,Cuenta propia sin operación de maquinarias del almacenaje con calificación profesional,21
36.3.1.1,Trabajadores sin operación de maquinarias del almacenaje con calificación profesional,21
60.1.1.1,Cuenta propia sin operación de maquinarias de la producción agrícola con calificación profesional,21
60.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción agrícola con calificación profesional,21
60.2.0.1,Jefes de la producción agrícola con calificación profesional,21
60.3.1.1,Trabajadores sin operación de maquinarias de la producción agrícola con calificación profesional,21
60.3.3.1,Operadores de sistemas y/o equipos informatizados de la producción agrícola con calificación profesional,21
61.3.1.1,Trabajadores sin operación de maquinarias de la producción ganadera con calificación profesional,21
62.1.1.1,Cuenta propia sin operación de maquinarias de la producción forestal con calificación profesional,21
62.2.0.1,Jefes de la producción forestal con calificación profesional,21
